"","question","answer","value","question_number","answer_number"
"1","Name an app that's embarrassing to own.","TINDER",15,10,1
"2","Name an app that's embarrassing to own.","TINDR",7,10,2
"3","Name an app that's embarrassing to own.","CANDYCRUSH",5,10,3
"4","Name an app that's embarrassing to own.","GRINDR",4,10,4
"5","Name an app that's embarrassing to own.","KIK",3,10,5
"6","Name an app that's embarrassing to own.","FLAPPYBIRD",2,10,6
"7","Name an app that's embarrassing to own.","GRINDER",2,10,7
"8","Name an app that's embarrassing to own.","SNAPCHAT",2,10,8
"9","Name an app that's embarrassing to own.","WWENETWORK",2,10,9
"10","Name an app that's embarrassing to own.","ANGRYBIRDS",1,10,10
"11","Name an app that's embarrassing to own.","ANGRYBOILS",1,10,11
"12","Name an app that's embarrassing to own.","BLOODROSES",1,10,12
"13","Name an app that's embarrassing to own.","CANDYCRUSHSAGA",1,10,13
"14","Name an app that's embarrassing to own.","CRUNCHYROLL",1,10,14
"15","Name an app that's embarrassing to own.","DATINGAPPS",1,10,15
"16","Name an app that's embarrassing to own.","FACEBOOK",1,10,16
"17","Name an app that's embarrassing to own.","FARMVILLE",1,10,17
"18","Name an app that's embarrassing to own.","GOOGLEMAPS",1,10,18
"19","Name an app that's embarrassing to own.","GOSSIPMAGAZINE",1,10,19
"20","Name an app that's embarrassing to own.","KARDASHIANGAME",1,10,20
"21","Name an app that's embarrassing to own.","MEETME",1,10,21
"22","Name an app that's embarrassing to own.","MESSENGER",1,10,22
"23","Name an app that's embarrassing to own.","MYDAYS",1,10,23
"24","Name an app that's embarrassing to own.","NFLNETWORK",1,10,24
"25","Name an app that's embarrassing to own.","OKCUPID",1,10,25
"26","Name an app that's embarrassing to own.","PERIODCALENDER",1,10,26
"27","Name an app that's embarrassing to own.","PERIODTRACKER",1,10,27
"28","Name an app that's embarrassing to own.","PONYJIGSAWPUZZLES",1,10,28
"29","Name an app that's embarrassing to own.","PORNHUB",1,10,29
"30","Name an app that's embarrassing to own.","QUSTODIO",1,10,30
"31","Name an app that's embarrassing to own.","SETTINGS",1,10,31
"32","Name an app that's embarrassing to own.","STREAKERRUN",1,10,32
"33","Name an app that's embarrassing to own.","TOLIETTIME",1,10,33
"34","Name an app that's embarrassing to own.","TWITTER",1,10,34
"35","Name a Nintendo character you would want to invite to a dinner party.","PRINCESSPEACH",13,2,1
"36","Name a Nintendo character you would want to invite to a dinner party.","LINK",8,2,2
